dtRef,idUsuario,qtdeTransacoes,qtdeDias,mediaTransacoesDias,saldoPontos,qtdePontosPos,qtdePontosNeg,qtdeDiasUltimaTransacao,qtdeDiasPrimeiraTransacao,qtdSkuDistintos,qtdeChatMessage,qtdePresença,qtdeTrocaStreamElements,qtdeChurn,qtdePonei,qtdeAirflowLover,qtdePresencaStreak,qtdeDailyLoot,qtdeRLover,qtdeVendaItemRPG,qtdeTransacoesD7,qtdeDiasD7,saldoPontosD7,qtdePontosPosD7,qtdePontosNegD7,qtdeTransacoesD14,qtdeDiasD14,saldoPontosD14,qtdePontosPosD14,qtdePontosNegD14,qtdeTransacoesD28,qtdeDiasD28,saldoPontosD28,qtdePontosPosD28,qtdePontosNegD28,propAvgQtdeTransacoes,propAvgQtdeDias,propAvgMediaTransacoesDias,propAvgSaldoPontos,propAvgQtdePontosPos,propAvgQtdePontosNeg,flagChurn
2025-02-01,022ee093-36c6-4519-9404-b145a086b40c,14,1,14.0,63,63,0,2.0,2.0,2,13,1,0,0,0,0,0,0,0,0,14,1,63,63,0,14,1,63,63,0,14,1,63,63,0,0.168689412134147,0.0857332009268454,3.47563730121361,0.119660752197301,0.0648252435863055,0.0,0
2025-03-01,022ee093-36c6-4519-9404-b145a086b40c,81,11,7.36363636363636,670,670,0,8.0,30.0,3,70,10,0,0,0,0,1,0,0,0,0,0,0,0,0,27,4,223,223,0,67,10,607,607,0,1.00225570496255,0.954025635121652,1.84592382651734,1.29113125335744,0.714061378531756,0.0,1
2024-03-01,025f30ce-4b1b-429f-b92b-5b3f7003699f,1,1,1.0,50,50,0,25.0,25.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,50,0,0.0331710576555937,0.269588828549263,0.215390721449842,0.194053854830964,0.170281368523183,0.0,1
2024-04-01,0262b6a5-db4c-49ba-b139-86fc3cb6278f,1,1,1.0,50,50,0,26.0,26.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,50,0,0.0202418506834911,0.165472779369628,0.21877410380932,0.145204024225814,0.103315718972299,0.0,1
2025-03-01,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,278,37,7.51351351351351,2633,2883,-250,3.0,320.0,5,233,35,0,0,3,0,6,1,0,0,5,3,103,103,0,5,3,103,103,0,30,8,670,670,0,3.43984056764925,3.20899531813646,1.88349518234569,5.07395311953751,3.07259545418963,0.596132419474644,0
2025-01-01,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,133,11,12.0909090909091,471,721,-250,12.0,261.0,4,121,10,0,0,0,0,1,1,0,0,0,0,0,0,0,65,3,311,311,0,88,5,432,432,0,1.55661426964267,0.922545875645822,3.02735044312961,0.831008508792231,0.714915812061453,0.565957661678144,0
2025-02-01,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,248,29,8.55172413793103,1963,2213,-250,1.0,292.0,5,213,28,0,0,1,0,5,1,0,0,17,5,361,361,0,28,8,519,519,0,115,18,1492,1492,0,2.98821244351917,2.48626282687852,2.12304938596299,3.72847708830636,2.27711530248403,0.561349666657997,0
2024-08-01,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,45,6,7.5,39,289,-250,13.0,108.0,3,39,5,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,-194,56,-250,8,1,-194,56,-250,0.59925567735892,0.623838703301048,1.77476475259951,0.0815353694873667,0.365885594260618,0.80245394280507,1
2025-04-01,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,303,45,6.73333333333333,3248,3498,-250,1.0,351.0,5,248,43,0,0,4,0,7,1,0,0,21,5,464,464,0,23,6,515,515,0,25,8,615,615,0,3.72007561833745,3.82151029748284,1.70294571784673,6.27179797636087,3.70972232617319,0.588160712273188,0
2024-05-01,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,37,5,7.4,233,233,0,12.0,16.0,2,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,127,127,0,37,5,233,233,0,0.599656429969445,0.678175818995993,1.57443082067981,0.614152040891104,0.401068087193721,0.0,1
2024-04-01,02adccd0-1559-4f7d-bc92-02ec73e68773,4,3,1.33333333333333,102,102,0,19.0,39.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.0809674027339642,0.496418338108883,0.291698805079094,0.296216209420661,0.210764066703491,0.0,1
2024-03-01,02adccd0-1559-4f7d-bc92-02ec73e68773,3,2,1.5,101,101,0,7.0,8.0,2,1,2,0,0,0,0,0,0,0,0,1,1,50,50,0,3,2,101,101,0,3,2,101,101,0,0.0995131729667812,0.539177657098526,0.323086082174763,0.391988786758547,0.343968364416829,0.0,0
2024-06-01,02bfd4d9-4dd6-44e5-88b8-2cc08caf3267,4,2,2.0,1051,1051,0,19.0,29.0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.0584929438345122,0.242835595776772,0.433543198018019,2.50967857957274,1.63610015627512,0.0,0
2025-03-01,02bfd4d9-4dd6-44e5-88b8-2cc08caf3267,318,83,3.83132530120482,3378,6878,-3500,1.0,302.0,7,206,77,3,0,7,0,1,2,0,22,12,2,110,110,0,25,5,270,270,0,37,8,429,429,0,3.93478165651964,7.19855706500883,0.960440509468638,6.50961399080809,7.33031964409166,8.34585387264501,0
2025-02-01,02bfd4d9-4dd6-44e5-88b8-2cc08caf3267,281,75,3.74666666666667,2949,6449,-3500,1.0,274.0,7,177,69,3,0,7,0,1,2,0,22,4,2,102,102,0,15,5,260,260,0,47,14,-169,831,-1000,3.3858374864068,6.42999006951341,0.930146744420023,5.60126282904507,6.63584120457277,7.85889533321196,0
2024-07-01,02bfd4d9-4dd6-44e5-88b8-2cc08caf3267,6,4,1.5,1053,1053,0,7.0,59.0,3,3,1,0,0,2,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,2,2,2,2,0,0.081752298746312,0.443615450376933,0.332951877365863,2.33230374269133,1.47777628073433,0.0,0
2025-04-01,02bfd4d9-4dd6-44e5-88b8-2cc08caf3267,338,89,3.79775280898876,3643,7143,-3500,4.0,333.0,7,221,82,3,0,7,0,1,2,0,22,4,1,53,53,0,11,3,158,158,0,20,6,265,265,0,4.14978732342593,7.5580981439105,0.960500032204131,7.03453202828899,7.57534207428676,8.23424997182464,0
2024-12-01,02bfd4d9-4dd6-44e5-88b8-2cc08caf3267,176,51,3.45098039215686,3521,5021,-1500,2.0,212.0,6,112,46,1,0,6,0,0,2,0,9,12,2,110,110,0,28,5,273,273,0,51,9,591,591,0,2.10420495502809,4.37597874720358,0.85843973846141,6.22234690498246,5.09424253429674,3.573480542874,0
2024-11-01,02bfd4d9-4dd6-44e5-88b8-2cc08caf3267,122,41,2.97560975609756,2878,4378,-1500,1.0,182.0,6,77,36,1,0,5,0,0,2,0,1,14,2,112,112,0,20,3,167,167,0,39,8,676,1926,-1250,1.47231463398209,3.60687285223368,0.730187985346537,5.22957551962393,4.57731232168591,3.69344413665743,0
2024-09-01,02bfd4d9-4dd6-44e5-88b8-2cc08caf3267,43,23,1.8695652173913,1923,1923,0,3.0,121.0,3,23,18,0,0,2,0,0,0,0,0,2,2,100,100,0,6,4,202,202,0,11,9,452,452,0,0.553372438556305,2.21810484806309,0.452169682865721,3.78969017188972,2.23785847943559,0.0,0
2024-10-01,02bfd4d9-4dd6-44e5-88b8-2cc08caf3267,77,31,2.48387096774194,2098,2348,-250,4.0,151.0,4,48,26,0,0,2,0,0,1,0,0,9,2,107,107,0,20,4,-35,215,-250,32,7,124,374,-250,0.950968548811165,2.84271619268717,0.604327919152686,3.93995293222716,2.55338756100613,0.645879600312757,0
2024-08-01,02bfd4d9-4dd6-44e5-88b8-2cc08caf3267,25,12,2.08333333333333,1366,1366,0,3.0,90.0,3,16,7,0,0,2,0,0,0,0,0,2,1,51,51,0,8,3,155,155,0,19,8,313,313,0,0.332919820754956,1.2476774066021,0.492990209055419,2.85582858255751,1.72941080193773,0.0,0
2025-01-01,02bfd4d9-4dd6-44e5-88b8-2cc08caf3267,226,59,3.83050847457627,3012,5512,-2500,12.0,243.0,6,146,53,2,0,7,0,0,2,0,16,0,0,0,0,0,13,2,111,111,0,38,7,-570,430,-1000,2.64507387172363,4.94820060573668,0.959091780504678,5.31422001800892,5.46548676294414,5.65957661678144,0
2024-06-01,02cb6641-a115-4c53-a6ab-22b332d8e5e2,3,3,1.0,150,150,0,9.0,29.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100,100,0,2,2,100,100,0,0.0438697078758842,0.364253393665158,0.21677159900901,0.358184383383359,0.233506206889883,0.0,1
2025-03-01,02d8e64c-cb53-446b-955e-cbbf93c8f747,1,1,1.0,50,50,0,19.0,19.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,50,0,0.0123735272217599,0.0867296031928774,0.250681013477663,0.0963530786087639,0.0532881625769967,0.0,1
2024-10-01,02ebaed5-c07a-4bdd-bb7b-5334d5b25b39,108,26,4.15384615384615,1557,1557,0,1.0,64.0,5,77,24,0,6,0,0,1,0,0,0,34,4,377,377,0,62,9,776,776,0,86,14,1045,1045,0,1.33382601651436,2.38421358096344,1.01063430235924,2.92397841538498,1.69319609560756,0.0,0
2024-12-01,02ebaed5-c07a-4bdd-bb7b-5334d5b25b39,157,38,4.13157894736842,2791,2791,0,3.0,125.0,7,109,36,0,8,1,0,1,0,0,2,2,1,51,51,0,2,1,51,51,0,6,2,104,104,0,1.87704646556483,3.2605331841909,1.02774027898632,4.932283502359,2.83171298809444,0.0,0
2025-01-01,02ebaed5-c07a-4bdd-bb7b-5334d5b25b39,160,39,4.1025641025641,2942,2942,0,16.0,156.0,8,110,37,0,9,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,151,151,0,1.87261867024682,3.27084446819882,1.02720971272568,5.1907155687192,2.91717381287766,0.0,0
2024-09-01,02ebaed5-c07a-4bdd-bb7b-5334d5b25b39,20,11,1.81818181818182,461,461,0,2.0,34.0,2,11,9,0,0,0,0,0,0,0,0,6,1,55,55,0,12,4,159,159,0,17,8,360,360,0,0.257382529561072,1.06083275342148,0.439742186296473,0.908500868040125,0.536480893926056,0.0,0
2025-04-01,02ebaed5-c07a-4bdd-bb7b-5334d5b25b39,245,51,4.80392156862745,3813,3813,0,18.0,246.0,8,181,49,0,10,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,50,50,0,3.00798193561939,4.33104500381388,1.21497292042064,7.36279731646059,4.04378823033115,0.0,1
2024-11-01,02ebaed5-c07a-4bdd-bb7b-5334d5b25b39,151,36,4.19444444444444,2687,2687,0,1.0,95.0,7,106,34,0,8,1,0,1,0,0,1,8,4,204,204,0,24,6,318,318,0,41,9,1079,1079,0,1.82229106337127,3.16701030927835,1.02927910229518,4.88251196012144,2.80932805124944,0.0,0
2025-02-01,02ebaed5-c07a-4bdd-bb7b-5334d5b25b39,216,47,4.59574468085106,3588,3588,0,1.0,187.0,8,156,45,0,10,2,0,1,0,0,2,8,3,155,155,0,35,4,231,231,0,56,8,646,646,0,2.60263664435541,4.02946044356173,1.14093868854428,6.81496474418912,3.69195196805816,0.0,0
2025-03-01,02ebaed5-c07a-4bdd-bb7b-5334d5b25b39,244,50,4.88,3763,3763,0,5.0,215.0,8,181,48,0,10,2,0,1,0,0,2,1,1,50,50,0,1,1,50,50,0,28,3,175,175,0,3.01914064210941,4.33648015964387,1.223323345771,7.25153269609557,4.01046711554477,0.0,0
2024-08-01,02ebaed5-c07a-4bdd-bb7b-5334d5b25b39,2,2,1.0,51,51,0,2.0,3.0,2,1,1,0,0,0,0,0,0,0,0,2,2,51,51,0,2,2,51,51,0,2,2,51,51,0,0.0266335856603965,0.207946234433683,0.236635300346601,0.106623175483479,0.0645680460459914,0.0,0
2024-12-01,032a9f21-2dc3-4edd-a757-21d8ba63ce66,31,17,1.82352941176471,963,963,0,2.0,32.0,3,13,17,0,0,0,0,1,0,0,0,13,5,357,357,0,17,9,557,557,0,22,14,807,807,0,0.370627009124265,1.45865958240119,0.453607361800631,1.70182336537862,0.97704751255283,0.0,0
2025-02-01,032a9f21-2dc3-4edd-a757-21d8ba63ce66,39,21,1.85714285714286,1118,1118,0,25.0,94.0,3,18,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0.469920505230837,1.80039721946375,0.461053927712009,2.12350350724733,1.15039083062682,0.0,1
